"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"29",1563,638,13100,50,"13100_44_50","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",123,49,76,24,20,48,32,"I-C",176,163,222,0.690196078,0.639215686,0.870588235,142,0
"30",1564,23,13110,50,"13110_50","North-Central Interior Dry Oak Forest and Woodland","Hardwood",104,98,19,14,14,14,72,"I-B",179,207,143,0.701960784,0.811764706,0.560784314,5,0
"31",1568,9444,13651,50,"13651_40_41_50","Boreal White Spruce-Fir-Hardwood Forest-Inland","Conifer",250,1468,NA,213,85,15,NA,"V-A",147,194,114,0.576470588,0.760784314,0.447058824,2100,0
"32",1570,31,13940,50,"13940_50_51","North-Central Interior Oak Savanna","Hardwood",66,184,5,5,7,3,90,"I-A",230,213,138,0.901960784,0.835294118,0.541176471,7,0
"33",1575,264,14120,50,"14120_39_40_41_42_43_50_51","North-Central Interior Sand and Gravel Tallgrass Prairie","Grassland",4,NA,87,3,96,NA,4,"II-A",214,0,157,0.839215686,0,0.615686275,59,0
"34",1576,217,14210,50,"14210_31_38_42_43_44_50_51","Central Tallgrass Prairie","Grassland",4,NA,NA,4,100,NA,NA,"II-A",232,255,196,0.909803922,1,0.768627451,48,0
"35",1577,1,14440,50,"14440_41_50_51","Eastern Boreal Floodplain","Hardwood",NA,581,312,203,NA,35,65,"V-A",69,69,156,0.270588235,0.270588235,0.611764706,0,0
"36",1578,8994,14660,50,"14660_50_51","Great Lakes Wooded Dune and Swale","Riparian",3715,536,NA,468,13,87,NA,"V-A",181,0,0,0.709803922,0,0,2000,0
"37",1634,45,14660,51,"14660_50_51","Great Lakes Wooded Dune and Swale","Riparian",3715,536,NA,468,13,87,NA,"V-A",181,0,0,0.709803922,0,0,10,0
"38",1641,1488,14940,51,"14940_41_50_51","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",18,NA,NA,18,100,NA,NA,"II-C",0,168,107,0,0.658823529,0.419607843,331,0
